Column1,time,topicName,query,hotPos,popular,id,active_time_hr,climbing_time,top_hotPos,max_span_up_hotPos,max_span_down_hotPos,hotPos_flucation_avg_span,max_span_up_popular,max_span_down_popular,popular_avg,is_business_day
79,2021-11-21 01:00:00,Bama,Bama,2,21800,M_002,1002.0,999.0,1,8.0,12.0,3.0476190476190474,6400.0,75400.0,35176.19047619047,1
80,2021-11-07 02:00:00,Bama,Bama,2,19400,M_002,667.0,0.0,2,8.0,8.0,3.0,6400.0,75400.0,47841.666666666664,1
81,2022-01-15 20:00:00,Kentucky,Kentucky,9,21300,M_003,2341.0,1497.0,1,10.0,17.0,3.9743589743589745,51200.0,326300.0,97205.10256410256,1
82,2022-01-05 03:00:00,Kentucky,Kentucky,18,21800,M_003,2084.0,1497.0,1,10.0,17.0,3.8421052631578947,51200.0,326300.0,99202.6052631579,0
83,2022-01-01 22:00:00,Kentucky,Kentucky,9,30700,M_003,2007.0,1497.0,1,10.0,17.0,3.7027027027027026,51200.0,326300.0,101294.56756756757,1
84,2021-12-12 05:00:00,Kentucky,Kentucky,20,357000,M_003,1510.0,1497.0,1,10.0,17.0,3.5,51200.0,22800.0,103255.52777777778,1
85,2021-12-12 04:00:00,Kentucky,Kentucky,12,349000,M_003,1509.0,1497.0,1,10.0,17.0,3.3714285714285714,51200.0,22800.0,96005.68571428572,1
86,2021-12-11 23:00:00,Kentucky,Kentucky,4,248000,M_003,1504.0,1497.0,1,10.0,17.0,3.4838709677419355,51200.0,22800.0,67070.93548387097,1
87,2021-12-12 02:00:00,Kentucky,Kentucky,7,317000,M_003,1507.0,1497.0,1,10.0,17.0,3.4242424242424243,51200.0,22800.0,81006.0303030303,1
88,2021-12-12 01:00:00,Kentucky,Kentucky,3,277000,M_003,1506.0,1497.0,1,10.0,17.0,3.40625,51200.0,22800.0,73631.21875,1
89,2021-12-11 22:00:00,Kentucky,Kentucky,3,221000,M_003,1503.0,1497.0,1,10.0,17.0,3.566666666666667,51200.0,22800.0,61039.96666666667,1
90,2022-01-15 21:00:00,Kentucky,Kentucky,15,21900,M_003,2342.0,1497.0,1,10.0,17.0,4.025,51200.0,326300.0,95322.475,1
91,2021-12-12 03:00:00,Kentucky,Kentucky,10,338000,M_003,1508.0,1497.0,1,10.0,17.0,3.411764705882353,51200.0,22800.0,88564.67647058824,1
92,2022-01-22 20:00:00,Kentucky,Kentucky,7,39500,M_003,2509.0,1497.0,1,10.0,17.0,4.121951219512195,51200.0,326300.0,93960.9512195122,1
93,2022-03-06 21:00:00,Kentucky,Kentucky,3,31900,M_003,3542.0,1497.0,1,10.0,17.0,4.39622641509434,51200.0,326300.0,78081.11320754717,1
94,2022-01-30 02:00:00,Kentucky,Kentucky,9,22900,M_003,2683.0,1497.0,1,10.0,17.0,4.162790697674419,51200.0,326300.0,90555.79069767441,0
95,2022-02-06 03:00:00,Kentucky,Kentucky,14,19200,M_003,2852.0,1497.0,1,10.0,17.0,4.181818181818182,51200.0,326300.0,88934.06818181818,1
96,2022-02-16 03:00:00,Kentucky,Kentucky,10,22900,M_003,3092.0,1497.0,1,10.0,17.0,4.177777777777778,51200.0,326300.0,87466.64444444445,0
97,2022-02-16 04:00:00,Kentucky,Kentucky,7,25500,M_003,3093.0,1497.0,1,10.0,17.0,4.1521739130434785,51200.0,326300.0,86119.54347826086,0
98,2022-02-16 05:00:00,Kentucky,Kentucky,7,26200,M_003,3094.0,1497.0,1,10.0,17.0,4.0638297872340425,51200.0,326300.0,84844.65957446808,0
99,2022-02-16 06:00:00,Kentucky,Kentucky,12,26300,M_003,3095.0,1497.0,1,10.0,17.0,4.083333333333333,51200.0,326300.0,83624.97916666667,0
100,2022-02-16 07:00:00,Kentucky,Kentucky,16,26300,M_003,3096.0,1497.0,1,10.0,17.0,4.081632653061225,51200.0,326300.0,82455.08163265306,0
101,2022-02-16 10:00:00,Kentucky,Kentucky,20,26300,M_003,3099.0,1497.0,1,10.0,17.0,4.08,51200.0,326300.0,81331.98,0
102,2022-02-19 20:00:00,Kentucky,Kentucky,5,19800,M_003,3181.0,1497.0,1,10.0,17.0,4.294117647058823,51200.0,326300.0,80125.4705882353,1
103,2022-02-19 21:00:00,Kentucky,Kentucky,11,20000,M_003,3182.0,1497.0,1,10.0,17.0,4.326923076923077,51200.0,326300.0,78969.21153846153,1
104,2022-03-06 22:00:00,Kentucky,Kentucky,17,33300,M_003,3543.0,1497.0,1,14.0,17.0,4.574074074074074,51200.0,326300.0,77251.83333333333,1
105,2021-12-11 21:00:00,Kentucky,Kentucky,3,199000,M_003,1502.0,1497.0,1,10.0,17.0,3.689655172413793,51200.0,22800.0,55524.10344827586,1
106,2022-01-30 01:00:00,Kentucky,Kentucky,3,18600,M_003,2682.0,1497.0,1,10.0,17.0,4.119047619047619,51200.0,326300.0,92166.64285714286,0
107,2021-12-11 20:00:00,Kentucky,Kentucky,3,177000,M_003,1501.0,1497.0,1,10.0,17.0,3.8214285714285716,51200.0,22800.0,50399.96428571428,1
108,2021-10-31 01:00:00,Kentucky,Kentucky,19,13700,M_003,498.0,157.0,2,10.0,17.0,4.5,5200.0,22800.0,30059.9,1
109,2021-12-11 18:00:00,Kentucky,Kentucky,2,143000,M_003,1499.0,1497.0,1,10.0,17.0,4.0,51200.0,22800.0,41276.88461538462,1
110,2021-12-11 19:00:00,Kentucky,Kentucky,1,161000,M_003,1500.0,1497.0,1,10.0,17.0,3.888888888888889,51200.0,22800.0,45711.07407407407,1
111,2021-10-10 07:00:00,Kentucky,Kentucky,8,32299,M_003,0.0,0.0,8,0.0,-0.0,0.0,0.0,-0.0,32299.0,1
112,2021-10-10 08:00:00,Kentucky,Kentucky,9,32500,M_003,1.0,0.0,8,1.0,-0.0,0.5,201.0,-0.0,32399.5,1
113,2021-10-16 20:00:00,Kentucky,Kentucky,2,24300,M_003,157.0,157.0,2,10.0,17.0,7.0,201.0,8400.0,30449.75,1
114,2021-10-16 21:00:00,Kentucky,Kentucky,2,27800,M_003,158.0,157.0,2,10.0,17.0,5.6,3500.0,8400.0,29919.8,1
115,2021-10-16 22:00:00,Kentucky,Kentucky,3,30100,M_003,159.0,157.0,2,10.0,17.0,4.833333333333333,3500.0,8400.0,29949.833333333332,1
116,2021-10-16 23:00:00,Kentucky,Kentucky,3,35300,M_003,160.0,157.0,2,10.0,17.0,4.142857142857143,5200.0,8400.0,30714.14285714286,1
117,2021-10-17 00:00:00,Kentucky,Kentucky,3,35400,M_003,161.0,157.0,2,10.0,17.0,3.625,5200.0,8400.0,31299.875,1
118,2021-10-17 01:00:00,Kentucky,Kentucky,12,36500,M_003,162.0,157.0,2,10.0,17.0,4.222222222222222,5200.0,8400.0,31877.666666666668,1
119,2021-10-31 02:00:00,Kentucky,Kentucky,15,15700,M_003,499.0,157.0,2,10.0,17.0,4.454545454545454,5200.0,22800.0,28754.454545454544,1
120,2021-11-07 00:00:00,Kentucky,Kentucky,18,17800,M_003,665.0,157.0,2,10.0,17.0,4.333333333333333,5200.0,22800.0,27841.583333333332,1
121,2021-11-07 01:00:00,Kentucky,Kentucky,15,19700,M_003,666.0,157.0,2,10.0,17.0,4.230769230769231,5200.0,22800.0,27215.30769230769,1
122,2021-10-10 10:00:00,Kentucky,Kentucky,19,32700,M_003,3.0,0.0,8,10.0,-0.0,3.6666666666666665,201.0,-0.0,32499.666666666668,1
123,2021-11-07 03:00:00,Kentucky,Kentucky,8,28600,M_003,668.0,157.0,2,10.0,17.0,4.533333333333333,5200.0,22800.0,27139.933333333334,1
124,2021-11-07 02:00:00,Kentucky,Kentucky,5,24700,M_003,667.0,157.0,2,10.0,17.0,4.642857142857143,5200.0,22800.0,27035.64285714286,1
125,2021-12-11 16:00:00,Kentucky,Kentucky,1,97700,M_003,1497.0,1497.0,1,10.0,17.0,4.291666666666667,51200.0,22800.0,33674.958333333336,1
126,2021-12-11 10:00:00,Kentucky,Kentucky,5,36900,M_003,1491.0,157.0,2,10.0,17.0,4.5,5300.0,22800.0,28290.863636363636,1
127,2021-12-11 09:00:00,Kentucky,Kentucky,11,31600,M_003,1490.0,157.0,2,10.0,17.0,4.428571428571429,5200.0,22800.0,27880.904761904763,1
128,2021-12-11 08:00:00,Kentucky,Kentucky,12,29700,M_003,1489.0,157.0,2,10.0,17.0,4.6,5200.0,22800.0,27694.95,1
